From;To;Type;Through;x;y;x;y;
643;644;river_large;9551;3647;368;3652;358;Araba~Wad ban Naqa
3312;3314;river_large;9554;3602;251;3615;252;Petta*~Alwa
8725;8109;river_large;9557;3634;108;3645;111;Santah~Rabak
3314;3313;river_large;9558;3632;249;3637;258;Alwa~Soba***
8106;8627;river_large;9560;3739;168;3744;175;Amara~Fao
634;632;river_large;9561;3704;463;3703;472;Darou~Abale
7587;3322;river_large;9562;3790;427;3798;433;Anak*~Borassa
7589;3328;river_large;9565;3930;297;3937;302;Abliata~Thana*
8642;8644;river_large;9567;3973;195;3980;201;Baqbaqah~Barakit
### Asia ###
## Central Asia ##
# Daikos #
5879;5880;river_large;9568;4049;3382;4057;3388;PASS~PASS
8940;8941;river_large;9570;3990;3492;3998;3494;Inder~Chokun
9112;9111;river_large;9573;3872;3661;3881;3663;Uase~Levedi
# Oxus #
5424;6811;river_large;9574;4453;2849;4458;2838;Venas~Hazar
5452;6808;river_large;9576;4576;2919;4579;2908;Oshin~Uzboia
5455;5454;river_large;9578;4565;3052;4575;3054;Palimek~Yatsha
6803;6797;river_large;9579;4619;3170;4622;3160;Gurganj~Vezir
6800;9238;river_large;9582;4833;3194;4835;3203;Hazarasp~Sho'rtakli
6708;9236;river_large;9584;4984;3124;4987;3135;Chadracarta~Qarako'l
7241;7230;river_large;9587;5157;3081;5161;3090;Shor~Kerkichi
7227;7228;river_large;9589;5261;3075;5265;3068;Kerki~Dilbarjin
6686;6690;river_large;9591;5377;3104;5378;3113;Termaio~Sangin
6803;9240;river_large;9593;4698;3218;4701;3228;Gurganj~Sokkul
5484;7260;river_large;9595;4619;3314;4631;3318;Cammei~Kupir*
# Jaxartes #
8895;7254;river_large;9596;4637;3571;4643;3564;Tabankuduk~Boot*
7248;8974;river_large;9600;4875;3613;4876;3623;Janaqala~Zharagash
7250;7251;river_large;9602;5028;3577;5031;3587;Koga*~Besta*
7278;7267;river_large;9605;5269;3429;5265;3435;Padri*~Araq*
## Western India ##
# Indus #
4319;4330;river_large;9612;5879;2906;5888;2909;Sattagydae~Gogaraioi
6103;9264;river_large;9204;6103;2817;6114;2813;Vashschka~Chishtian
4393;7485;river_large;9614;6147;2929;6157;2931;Okara*~Sodal
4390;4418;river_large;9616;6227;3014;6232;3009;Jalandhara~Satadru
4350;4349;river_large;9617;5999;2753;6007;2756;Mulasthanapura/Multan~Malava
4384;4380;river_large;9619;5994;2897;6000;2895;Kekaya~Malloi
4315;4340;river_large;9621;6045;3046;6054;3042;Nikaia~Sakala
6852;7220;river_large;9625;6147;2283;6153;2286;Samarabriva~Saraswata
4358;5356;sea;9624;0;0;0;0;Singai~IP 357
4357;5356;sea;9625;0;0;0;0;Umarkot~IP 357
# Mahi #
6854;6855;river_large;9626;6510;2275;6516;2271;Kheta~Vadaora/Baroda
4478;4499;river_large;9628;6514;2417;6520;2418;Devnimori~Navagramaka
# Narmada #
7421;7422;river_large;9630;6769;2485;6778;2479;Narmadapuram~Betul*
# Tapi #
7125;7182;river_large;9634;6712;2286;6715;2279;Pandavleni******~Jhodga
7316;7126;river_large;9635;6777;2359;6785;2353;Khargone*~Burhanpur******
## Eastern India ##
# Mahanadi #
7086;7173;river_large;9637;7501;2822;7496;2831;Tosali~Caritra
7100;7171;river_large;9638;7400;2755;7405;2746;Mahdnada~Bhuvanesvara
7166;7168;river_large;9640;7278;2731;7274;2724;Vinitapura~Suvarnapura
7068;7096;river_large;9641;7135;2695;7136;2687;Bhurhikara~Kosala
# Brahmani #
7174;7173;river_large;9643;7485;2870;7493;2862;Jajatipura~Caritra
9248;9247;river_large;9644;7380;2792;7379;2798;Kamalanga~Kamakhyanagar
9254;9253;river_large;9646;7290;2847;7293;2854;Deogarh~Lahunipara
# Ganges #
4426;7404;river_large;9231;6578;2934;6578;2945;Kampili~Anupshahr*
4404;4454;river_large;9649;6463;2995;6471;3002;Hastinapur~Matipura
7219;7375;river_large;9652;6757;2864;6756;2877;Suktivati~Kahnpuria
7408;7218;river_large;9654;6605;2853;6603;2861;Batesar~Yamaprastha
4405;4421;river_large;9656;6450;2912;6453;2920;Indraprastha~Varana
4411;4412;river_large;9658;6382;2982;6390;2986;Sthanishvara~Karnal
7472;7408;river_large;9659;6645;2853;6641;2862;Bhind*~Batesar
7306;7307;river_large;9661;6594;2792;6600;2789;Ranasthambapura~Sripatha
7440;7435;river_large;9662;6556;2684;6563;2681;Khandar*~Ramgarh
7471;4435;river_large;9665;6722;2813;6728;2805;Orai*~Erakaccha
4429;7371;river_large;9668;6956;2984;6955;2991;Varanasi~Jamadaganipura
7382;7483;river_large;9671;6813;2977;6810;2985;Raebareli***~Mehdawal*
4456;7406;river_large;9672;6698;2989;6702;2994;Nimisa (forest?)~Sitapur*
7478;7477;river_large;9673;7036;3086;7034;3093;Rivilganj*~Saran*
4455;4437;river_large;9676;6840;3018;6837;3024;Jaisingpur~Ayodhya
7477;4448;river_large;9677;7047;3130;7051;3139;Saran*~Vaisali
4457;4458;river_large;9679;6915;3157;6921;3160;Lumbini~Ramagrama
4462;7480;river_large;9680;7180;3183;7179;3190;Modgagiri~Saharsa
7342;7348;river_large;9683;7448;3514;7456;3511;Hajo~Davaka
7351;7352;river_large;9686;7542;3696;7550;3696;Japa*~Turupa*
7345;7393;river_large;9691;7479;3072;7485;3069;Nabadwipa~Kasipur
7496;7495;river_large;9689;7497;3317;7501;3327;Bhaluka~Egarosindur
# Irrawaddy #
8770;8771;river_large;9692;8091;3237;8100;3244;Taledan~Sri Ksetra
8788;8774;river_large;9693;7977;3299;7981;3309;Salin~Ywa Htin Kon
8778;8789;river_large;9695;7944;3469;7954;3479;Halin~Pai
## Southern India ##
# Godavari #
7056;7123;river_large;9222;7290;2333;7291;2346;Gummididurru~Alatnapura*
7124;7155;river_large;9698;7146;2350;7155;2349;Dhamna*~Kaulas
7158;7079;river_large;9700;7024;2272;7031;2265;Indur~Potana
7146;7161;river_large;9702;6896;2197;6896;2207;Asmakhala~Darur
7133;5317;sea;9697;0;0;0;0;Kotilingala~IP 318
7124;5317;sea;9704;0;0;0;0;Dhamna*~IP 318
7115;5317;sea;9705;0;0;0;0;Wairagar~IP 318
7077;5317;sea;9705;0;0;0;0;Cikamburika~IP 318
7077;7151;river_large;9705;7055;2489;7052;2498;Cikamburika~Vairagara
7451;7129;river_large;9707;6982;2593;6988;2598;Seoni*~Gondia
# Krishna #
7049;7013;river_large;9708;7250;2150;7260;2148;Naconda~Srisailam
7120;7154;river_large;9710;7123;2054;7119;2064;Raichur~Guriprava*
7110;7109;river_large;9713;6977;1967;6982;1960;Vayapata*~Vijayapura*******
7092;7053;river_large;9715;7059;2080;7059;2087;Katriyal~Sannathi
7106;7127;river_large;9718;6877;2064;6880;2070;Buravhala*~Trinagua
7120;7091;river_large;9719;7169;2050;7174;2041;Raichur~Bhakkuli
7072;7006;river_large;9721;7092;1908;7100;1902;Palkigunda~Uccasrngi
7057;7055;river_large;9788;7214;2207;7219;2215;Nagarjunikonda~Pravarapura
# Penner #
7005;7024;river_large;9724;7205;1935;7213;1938;Brahmagiri~Mangalavada
# Palar #
6986;6985;river_large;9726;7511;1925;7509;1933;Sopattinam~Mavilankai
6983;7028;river_large;9727;7440;1917;7437;1925;Arkatapura~Tirumala
# Ponnaiyar #
6936;6987;river_large;9728;7540;1851;7534;1857;Karige~Colapattinam
# Mahaweli #
6976;6967;river_large;9730;7812;1715;7818;1713;Girikandi~Nagadiba
## Middle East ##
# Phasis #
1717;1720;river_large;9731;3617;2730;3620;2724;Chaladidi~Phasis
1707;1706;river_large;9732;3671;2747;3673;2741;Kotais~Rhodopolis
# Kur #
1652;1644;river_large;9734;4141;2700;4147;2708;Talish~Paytakaran
1661;1635;river_large;9736;4034;2717;4035;2725;Arash~Nyudi
1638;1672;river_large;9738;4080;2650;4074;2657;Warthan~Southeast Arran
# Mesopotamia #
891;893;river_large;9789;3991;2110;3994;2118;Takrit~Samarra
835;883;river_large;9743;3913;2202;3920;2206;Hatra~Ashur
861;863;river_large;9745;3864;2268;3862;2278;Apqu~Balad
892;977;river_large;9747;4034;2139;4041;2142;Dura~Shahraban
899;914;river_large;9749;4074;2054;4080;2055;Bagdata~Opis
933;973;river_large;9751;4224;2023;4231;2027;Apamea~Bakusaya
939;934;river_large;9752;4288;1927;4294;1933;Larsa~Kashkar
923;936;river_large;7719;4182;1912;4188;1915;Qadissiyya~Medain
954;904;river_large;9755;3932;2038;3940;2042;Haditha~Idu
906;907;river_large;9756;3838;2069;3833;2077;Anatho~Haradu
827;828;river_large;9758;3733;2095;3741;2101;Circesium~Terqa
804;853;river_large;9761;3604;2130;3603;2140;Nicephorium~Ichnae
807;809;river_large;9767;3517;2190;3525;2193;Hierapolis~Europos
826;828;river_large;9769;3734;2119;3741;2117;Appadana~Terqa
823;874;river_large;9771;3719;2221;3725;2227;Shadikanni~Thannuris
919;921;river_large;9773;4107;1959;4112;1965;Borsippa~Marad
### Portages ###
8589;8574;sea;8541;2571;3640;2630;3603;Daugava_4~Borysthenes_15
8046;9194;sea;8963;3563;3309;3573;3323;Tanais~Rha_4

-1;-1;;-1;-1
